trip_distance,average_total_fare,number_of_trips
0,6.660781204395605,1147779
1,6.522376711535055,9836200
2,9.927064194130892,5930106
3,13.12653183228938,2832784
4,16.087792369047925,1495567
5,18.873442123224294,903117
6,21.450004523548518,574770
7,23.909673029084715,382297
8,26.209767590232804,293103
9,28.736239470148092,293214
10,31.422729576505102,261231
11,34.127382447681384,197444
12,36.94319429319086,127637
13,40.29834872722033,76329
14,43.48745533463006,55524
15,46.08344450891339,49981
16,49.660055714433895,67487
17,52.34306081492329,121582
18,52.83855944665727,135323
19,53.05018971775158,83756
20,54.34612805191073,48699
21,54.9048758270777,33703
22,56.431885571574526,17618
23,61.43886614817847,7329
24,68.32588937621833,4104
25,71.99170056100981,2852
26,73.81938486442736,2471
27,75.04562294311236,2127
28,69.81949750830564,2408
29,73.09538419618528,1835
30,80.59693989071039,1098
31,89.02341325811,709
32,97.9618035190616,682
33,102.20695885509839,559
34,101.25019823788546,454
35,104.68518427518428,407
36,109.67084745762713,413
37,113.76379947229552,379
38,111.10504716981133,212
39,122.90822115384616,208
40,122.09762711864406,177
41,125.69808383233534,167
42,130.13830985915493,142
43,136.6224193548387,124
44,150.37881818181816,110
45,150.7847619047619,105
46,136.94230769230768,78
47,155.96518987341773,79
48,171.46513157894736,76
49,134.4577358490566,53
50,154.91714285714286,56
51,163.2701612903226,62
52,157.88555555555556,63
53,177.68897959183673,49
54,167.65234042553192,47
55,143.33125,40
56,168.0157142857143,35
57,162.54999999999998,34
58,177.38500000000002,26
59,160.0595652173913,23
60,178.66904761904763,21
61,179.52631578947367,19
62,170.00357142857143,14
63,151.45454545454547,22
64,177.32142857142858,14
65,134.651,10
